doc,tags,eng_doc,eng_tags
"헬스장 PT 예약

PT 예약 문의",PT 예약,"Gym PT reservation

PT reservation inquiry",PT reservation
"여행사 상담

여행 상품 안내
가격 안내","여행 상품,가격","Travel agency consultation

Travel product information
Price information","Travel product, price"
"회사에서의 업무통화

배달 기사와 배달 위치 확인","배달,배달 위치 확인","Business call at the company

Confirm delivery driver and delivery location","Delivery, confirm delivery location"
"여행 계획 상의

호텔 예약
관광지 추천
항공권 예약","호텔 예약,관광지 추천,항공권 예약","Discussing travel plans

Hotel reservation
Tourist attractions recommendation
Air ticket reservation","Hotel reservation, tourist attractions recommendation, air ticket reservation"
"상담 전화에서의 다양한 대화

상담 녹음 안내
보험 가입 문의
보험금 청구","상담 녹음 안내,보험 가입 문의,보험금 청구","Various conversations on counseling calls

Counseling recording guidance
Inquiry about insurance enrollment
Claiming insurance money","Counseling recording guidance, inquiry about insurance enrollment, claiming insurance money"
"배달음식 주문

치킨과 피자 주문","치킨,피자,주문","Ordering delivery food

Order chicken and pizza","Chicken, pizza, order"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,진료비,의료비","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry of medical treatment","Insurance claim, medical expenses, medical expenses"
"배달 불편 사항 해결

주문한 음식이 늦게 도착함","음식 늦게 도착,냉장고 보관,음식 누락","Solving delivery problems

Ordered food arrives late","Food arrives late, refrigerated storage, food omission"
"배달 기사와의 통화

음식이 늦게 도착해서 불편함","음식 늦게 도착,냉장고 보관,음식 누락","Conversation with delivery driver

Food arrived late causing inconvenience","Food arrived late, stored in refrigerator, food missing"
"예약 확인

예약 일자와 시간 확인","예약 일자,예약자 이름,예약자 연락처","Confirm reservation

Confirm reservation date and time","Reservation date, reservation name, reservation contact"
"상담 요청

상담 내용",상담 내용,"Request for consultation

Content of consultation",Content of consultation
"광고 전화

광고 내용",광고 내용,"Advertising call

Ad content",Ad content
"배달 주문 변경

치킨 한마리 추가
마늘치킨으로 변경","배달 주문 변경,치킨 추가,마늘치킨","Change Delivery Order

Add one chicken
Change to garlic chicken","Change Delivery Order, Add Chicken, Garlic Chicken"
"광고 전화

신제품 출시 안내
할인 이벤트 안내","신제품 출시,할인 이벤트","Advertisement call

New product launch announcement
Discount event announcement","New product launch, discount event"
"사용 설명서 확인

사용 설명서 확인 방법 안내",사용 설명서 확인,"Check the user manual

Instructions on how to check the user manual",Check the user manual
"배달 기사와 음식 문제 해결

음식이 냉장고에 보관되어 있지 않았음","음식물 보관,음식 품질,배달 기사","Solving the problem with the delivery driver and the food

The food was not stored in the refrigerator.","Food storage, food quality, delivery driver"
"배달 음식 피드백

맛있게 먹었습니다.
양도 충분하고, 배달도 빠르고 좋았습니다.","음식평가,양,배달시간","Delivery food feedback

It was delicious.
The amount was enough and the delivery was fast and good.","Food evaluation, amount, delivery time"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","진료비,보험,진료시간","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for medical treatment","Medical expenses, insurance, medical time"
"배달 기사와의 통화

도착 예정 시간을 알려주세요.
도착 예정 시간은 10분 후입니다.","배달시간,도착예정시간,배달기사","Communication with delivery driver

Please let me know the estimated arrival time.
The estimated arrival time is 10 minutes later.","Delivery time, estimated arrival time, delivery driver"
"비즈니스 상담

회사 경영에 대한 조언
마케팅 전략 논의
투자 계획 검토","경영전략,마케팅,투자","Business Consultation

Advice on company management
Discussion of marketing strategies
Review of investment plans","Management strategy, marketing, investment"
"상품 교환 요청

상품 불량 신고
교환 요청","상품 불량,교환 요청","Request for product exchange

Product defect report
Exchange request","Product defect, exchange request"
"프로젝트 계획 논의

프로젝트 일정 조율
업무 분담 계획
기술적 이슈 논의","프로젝트 일정,업무 분담,기술적 이슈","Discuss project plan

Adjust project schedule
Plan task allocation
Discuss technical issues","Project schedule, task allocation, technical issues"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용 요약,상담 내용 정리","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Counseling Content, Counseling Content Summary, Counseling Content Summary"
"상담 전화에서의 다양한 대화

고객 문의 사항
상담 내용 요약
상담 내용 정리","보험 상품,보험 가입,보험 청구","Various conversations on the counseling phone

Customer inquiries
Summary of counseling content
Organizing counseling content","Insurance products, insurance enrollment, insurance claims"
"비즈니스 전략 논의

매출 증대 방안
경쟁 업체 분석
신규 제품 출시 계획","매출 증대,경쟁 업체 분석,신규 제품 출시","Discussing business strategy

Measures to increase sales
Analysis of competing companies
Plans to launch new products","Increase sales, analyze competing companies, launch new products"
"광고 캠페인 논의

광고 예산 결정
광고 채널 선정
광고 캡슐화","광고 예산,광고 채널,광고 캡슐화","Discussion of Advertising Campaign

Decision of Advertising Budget
Selection of Advertising Channels
Advertising Capsulization","Advertising Budget, Advertising Channels, Advertising Capsulization"
"사내 교육 일정 조율

교육 일정 확인
교육 내용 결정","사내 교육,일정 조율,교육 내용","Adjusting the internal training schedule

Check training schedule
Decide training content","Internal training, schedule adjustment, training content"
"컨설팅 전화

컨설팅 내용 1","컨설팅,커리어","Consulting call

Consulting content 1","Consulting, Career"
"회사 회의

회의 내용 1","회의,업무","Company meeting

Meeting content 1","Meeting, work"
"영화 예매

영화 제목: 어벤져스
상영 시간: 3월 30일 16시
좌석: VIP석","영화,예매","Movie reservation

Movie title: Avengers
Screening time: March 30th, 16:00
Seat: VIP seat","Movie, reservation"
"컨설팅 요청

회사 인력 교육 필요성
컨설팅 비용 문의
교육 일정 조율","인력교육,컨설팅비용,교육일정","Request for consulting

Need for company personnel training
Inquiry about consulting fees
Adjustment of training schedule","Personnel training, consulting fees, training schedule"
"연수 요청

연수 일정 조율
숙소 예약 문의
교육 내용 상담","연수일정,숙소예약,교육내용","Request for training

Adjustment of training schedule
Inquiry about accommodation reservation
Consultation on training content","Training schedule, accommodation reservation, training content"
"광고 제안

광고 제안 내용 상담
광고 예산 문의","광고제안,광고예산","Advertising proposal

Consultation on advertising proposal content
Inquiry about advertising budget","Advertising proposal, advertising budget"
"컨설팅 전화

피드백 수신에 대한 문의
전문가와의 상담
계약서 작성 방법","피드백 수신,전문가 상담,계약서 작성","Consulting call

Inquiry about feedback reception
Consultation with an expert
How to write a contract","Feedback reception, expert consultation, contract writing"
"광고 전화

신제품 출시 안내
할인 이벤트 안내
구매 방법 안내","신제품 출시,할인 이벤트,구매 방법","Advertisement call

New product launch guidance
Discount event guidance
Purchase method guidance","New product launch, discount event, purchase method"
"사용 설명서 문의

제품 사용 방법 문의
고장 신고 방법 안내
보증 기간 안내","제품 사용 방법,고장 신고,보증 기간","Inquiry about user manual

Inquiry about product usage
Instructions on how to report a breakdown
Warranty period guidance","Product usage, breakdown report, warranty period"
"비즈니스 전화에서의 컨설팅

신제품 출시 계획
시장 조사 결과
경쟁 업체 분석","신제품 출시,시장 조사,경쟁 업체 분석","Consulting on business calls

New product launch plan
Market research results
Competitor analysis","New product launch, market research, competitor analysis"
"컨설팅 전화에서의 업무 논의

마케팅 전략 논의
재무 상황 분석
인력 관리 방안","마케팅 전략,재무 상황,인력 관리","Business discussion on consulting call

Discussion of marketing strategy
Financial situation analysis
Personnel management plan","Marketing strategy, financial situation, personnel management"
"컨설팅 전화에서의 프로젝트 논의

프로젝트 목표 설정
진행 상황 보고
문제 해결 방안","프로젝트 목표,진행 상황,문제 해결","Project discussion on consulting call

Setting project goals
Progress report
Problem solving plan","Project goals, progress, problem solving"
"보험 가입 안내

보험 상품 안내
보험 가입 절차 안내
보험 가입 신청서 작성 방법","보험 상품,보험 가입 절차,보험 가입 신청서","Insurance Enrollment Guide

Insurance Product Guide
Insurance Enrollment Process Guide
How to Write an Insurance Enrollment Application","Insurance Product, Insurance Enrollment Process, Insurance Enrollment Application"
"여행 계획 상의

여행 일정 조율
숙소 예약 방법
관광지 추천","여행 일정,숙소 예약,관광지 추천","Discussing travel plans

Adjusting travel schedule
How to book accommodation
Recommended tourist spots","Travel schedule, accommodation reservation, recommended tourist spots"
"보험 에이전트와 보험료 문의

보험 상품 안내 및 가입 가능 여부 확인","보험 상품 안내,보험료 계산,보험 가입 절차","Inquiring about insurance agent and insurance fee

Inquiring about insurance product guidance and availability of subscription","Insurance product guidance, insurance fee calculation, insurance subscription process"
"친구와 영화 예매

영화 제목과 상영 시간 확인","영화 제목,상영 시간,좌석 선택,예매 완료","Booking a movie with friends

Check the movie title and screening time","Movie title, screening time, seat selection, booking completed"
"보험 에이전트와 보험금 청구

보험금 청구 절차 안내","보험금 청구 절차,필요한 서류,청구서 작성 방법","Insurance agent and insurance claim

Insurance claim procedure guidance","Insurance claim procedure, necessary documents, how to write a claim form"
"친구와 여행 계획

여행 일정과 예산 계획","여행 일정,예산 계획,숙소 예약,가격 비교,여행 준비물,패키지 상품","Travel plans with friends

Travel schedule and budget plan","Travel schedule, budget plan, accommodation reservation, price comparison, travel supplies, package products"
"보험 에이전트와 보험금 지급

보험금 지급 절차 안내","보험금 지급 절차,필요한 서류,지급 신청서 작성 방법","Insurance agent and insurance payment

Insurance payment procedure guidance","Insurance payment procedure, necessary documents, how to write a payment application"
"보험 에이전트와 보험 혜택 논의

보험 가입 시 혜택 안내
보험 가입 조건 확인
보험 가입 시 유의사항 안내","보험 혜택,보험 가입 조건,유의사항","Discussion with insurance agent about insurance benefits

Benefit guidance when joining insurance
Confirm insurance enrollment conditions
Guidance on precautions when joining insurance","Insurance benefits, insurance enrollment conditions, precautions"
"여행 계획 상의

여행 일정 조율
숙소 예약 방법 안내
관광지 추천","여행 일정,숙소 예약,관광지 추천","Discussing travel plans

Adjusting travel schedule
Instructions on how to book accommodation
Recommend tourist attractions","Travel schedule, accommodation reservation, tourist attraction recommendation"
"음식 배달 주문

음식 종류 선택
배달 주소 입력
결제 방법 선택","음식 종류,배달 주소,결제 방법","Food delivery order

Select food type
Enter delivery address
Select payment method","Food type, delivery address, payment method"
"보험 에이전트와 보험 상담

보험 가입 조건
보험 가입 방법
보험 가입 시 유의사항","보험 가입,보험 가입 방법,보험 가입 조건","Insurance Agent and Insurance Consultation

Insurance enrollment conditions
Insurance enrollment method
Insurance enrollment precautions","Insurance enrollment, insurance enrollment method, insurance enrollment conditions"
"친구와 대학 시험 대비

과목별 공부 방법
시험 준비 일정
과목별 시험 난이도","시험 대비,과목별 공부 방법,시험 준비 일정","Preparing for college exams with friends

Study methods by subject
Exam preparation schedule
Difficulty of exams by subject","Exam preparation, study methods by subject, exam preparation schedule"
"보험금 수령 문의

보험금 수령 방법 안내","보험금 수령,보험금 수령 방법","Inquiry about insurance payment

Instructions on how to receive insurance payment","Insurance payment, insurance payment method"
"보험 가입 상담

보험 가입 상담","보험 가입,보험 가입 방법","Insurance enrollment consultation

Insurance enrollment consultation","Insurance enrollment, insurance enrollment method"
"보험 청구 문의

보험 청구 방법 안내","보험 청구,보험 청구 방법","Insurance claim inquiry

Insurance claim procedure guidance","Insurance claim, insurance claim procedure"
"저녁 약속 잡기

어디서 만날까요?","저녁 약속,장소,시간","Making a dinner appointment

Where shall we meet?","Dinner appointment, place, time"
"카페 예약

사주카페 예약하고 싶어요","사주카페,예약","Cafe reservation

I want to make a reservation at Saju Cafe","Saju Cafe, reservation"
"보험 에이전트와 보험 이용 불편 사항 해결

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험 이용 불편 사항,진료 예약","Resolving insurance agent and insurance usage inconveniences

Request customer protection measures
Counseling recording guidance
Appointment and inquiry for medical treatment","Insurance usage inconveniences, appointment for medical treatment"
"보험 에이전트와 보험 이용 불편 사항 해결

보험 가입 문의
보험 가입 방법 안내
보험 가입 신청서 작성 방법 안내","보험 가입,보험 가입 신청서","Resolving insurance agent and insurance usage inconvenience

Inquiry about insurance enrollment
Guidance on how to enroll in insurance
Guidance on how to write an insurance enrollment application form","Insurance enrollment, insurance enrollment application form"
"보험 에이전트와 보험 이용 불편 사항 해결

보험 가입 문의
보험 가입 방법 안내",보험 가입,"Resolving insurance agent and insurance usage inconvenience

Inquiry about insurance enrollment
Guidance on how to enroll in insurance",Insurance enrollment
"웹 개발자와 웹사이트 이슈 해결

웹사이트 로딩 속도 개선 방법","웹사이트 로딩 속도,웹사이트 보안,웹사이트 디자인","Web developer and website issue resolution

Ways to improve website loading speed","Website loading speed, website security, website design"
"온라인 쇼핑몰 운영 방법

상품 등록 방법","상품 등록,배송 관리,고객 상담,마케팅 전략","Operating an online shopping mall

Product registration method","Product registration, delivery management, customer counseling, marketing strategy"
"저녁 약속 잡기

어디서 만날까?",저녁 약속 잡기,"Making a dinner appointment

Where shall we meet?",Making a dinner appointment
"여행 계획 세우기

어디로 갈까?",여행 계획,"Making travel plans

Where to go?",Travel plan
"영어 회화 공부 방법

어떤 교재를 사용해야 할까?",영어 회화 공부,"How to study English conversation

What textbook should I use?",Studying English conversation
"웹 개발자와 웹사이트 디자인 변경 논의

디자인 변경에 대한 의견 조율","웹사이트 디자인,기능 추가,예산 협의","Discussing web developer and website design changes

Harmonizing opinions on design changes","Website design, adding features, budget discussion"
"웹사이트 디자인 변경 논의

색상 및 레이아웃 변경","웹사이트 디자인,색상 변경,레이아웃 변경,반응형 웹사이트","Discussion on website design change

Color and layout change","Website design, color change, layout change, responsive website"
"웹사이트 디자인 변경 논의

메뉴 구성 변경","웹사이트 디자인,메뉴 구성 변경,이미지 변경,아이콘 변경","Discussion on website design change

Menu configuration change","Website design, menu configuration change, image change, icon change"
"웹사이트 디자인 변경 논의

폰트 및 타이포그래피 변경","웹사이트 디자인,폰트 변경,타이포그래피 변경","Discussion on website design change

Font and typography change","Website design, font change, typography change"
"친구와 영화 예매

영화 제목 확인","영화 예매,영화 제목 확인,상영 시간 확인,좌석 예매","Booking a movie with friends

Check movie title","Movie booking, check movie title, check screening time, seat reservation"
"웹사이트 성능 최적화 논의

웹 페이지 로딩 속도 개선 방법","웹사이트 성능 최적화,웹 페이지 로딩 속도,이미지 최적화,캐시 활용,CDN 도입,서버 사양 업그레이드","Discussion on Website Performance Optimization

Ways to improve web page loading speed","Website performance optimization, web page loading speed, image optimization, cache utilization, CDN adoption, server specification upgrade"
"저녁 약속

이태원 맛집 추천","이태원 맛집,와인 종류,예약 시간,의상 코드","Evening appointment

Recommendation of Itaewon restaurant","Itaewon restaurant, type of wine, reservation time, dress code"
"주문 취소 및 환불 문의

주문 취소 가능 여부","주문 취소,환불,환불 처리 기간","Inquiry about cancellation and refund

Whether cancellation is possible","Cancellation, refund, refund processing period"
"여행 계획

여행 일정","여행 일정,숙소 예약,교통 수단,여행 준비물","Travel plan

Travel schedule","Travel schedule, accommodation reservation, transportation, travel supplies"
"보험 가입 문의

보험 상품 종류","보험 상품 종류,보장 내용,보험료 계산 방법","Insurance enrollment inquiry

Types of insurance products","Types of insurance products, coverage content, method of calculating insurance premiums"
"웹 개발자와 웹사이트 보안 이슈 해결

웹사이트 보안 이슈 해결 방안 논의","웹사이트 보안,웹 개발자와의 협업","Web developer and website security issue resolution

Discussion of website security issue resolution plans","Website security, collaboration with web developers"
"프로젝트 진행 상황 보고

프로젝트 진행 상황 보고","프로젝트 진행 상황,문제점 해결","Project progress report

Project progress report","Project progress, problem solving"
"식당 예약

저녁 7시 예약",식당 예약,"Restaurant reservation

Reservation at 7pm",Restaurant reservation
"여행 계획

여행 일정 논의","여행 일정,숙소 예약","Travel plans

Discuss travel schedule","Travel schedule, book accommodation"
"커피 한잔

커피 한잔 하자","카페,커피","Have a cup of coffee

Let's have a cup of coffee","Cafe, coffee"
"웹사이트 사용자 피드백 논의

사용자 피드백 수집 방법
웹사이트 개선 방안 논의
기술적 제안 사항","웹사이트 개선,사용자 피드백,기술적 제안","Discussion of website user feedback

Methods of collecting user feedback
Discussion of website improvement plans
Technical proposals","Website improvement, user feedback, technical proposals"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,진료비 지원,의료보험","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry of medical treatment","Insurance claim, medical expense support, medical insurance"
"웹 개발자와 웹사이트 관리 플랫폼 교육

웹 개발자와 웹사이트 관리 플랫폼 교육에 대한 상세 내용","웹 개발,웹사이트 관리","Web Developer and Website Management Platform Training

Details of the Web Developer and Website Management Platform Training","Web Development, Website Management"
"웹사이트 버그 리포트

버그 리포트 제출 방법 안내
버그 리포트 확인 및 처리 예상 시간 안내","웹사이트 버그 리포트,버그 리포트 제출 방법,버그 리포트 처리 상황 업데이트","Website Bug Report

Instructions on how to submit a bug report
Estimated time for bug report confirmation and processing","Website Bug Report, Bug Report Submission Method, Bug Report Processing Status Update"
"상담 전화

상담 내용 확인
상담 요청 사항 안내","상담,상담 내용 수정,상담 내용 추가","Counseling call

Confirm counseling content
Instructions for counseling requests","Counseling, modify counseling content, add counseling content"
"제품 문의 전화

제품 사양 문의
가격 문의","제품 문의,가격 문의,배송 문의,환불 문의","Product inquiry phone call

Product specification inquiry
Price inquiry","Product inquiry, price inquiry, delivery inquiry, refund inquiry"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 사용 방법","Training for web developers and website usage

Training for web developers and website usage","Web development, website usage methods"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안","Web developer and website usage training

Web developer and website usage training","Web development, website security"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안,웹사이트 디자인","Web developer and website usage training

Web developer and website usage training","Web development, website security, website design"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안,웹사이트 디자인,웹사이트 마케팅","Web Developer and Website Usage Training

Web Developer and Website Usage Training","Web Development, Website Security, Website Design, Website Marketing"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안,웹사이트 디자인,웹사이트 마케팅,웹사이트 유지보수","Web Developer and Website Usage Training

Web Developer and Website Usage Training","Web Development, Website Security, Website Design, Website Marketing, Website Maintenance"
"개인 트레이너와 건강/식단 관련 상담

식단 조언 및 운동 계획 수립","건강,식단,운동","Personal trainer and health/diet consultation

Dietary advice and exercise plan establishment","Health, diet, exercise"
"개인 트레이너와 건강/식단 관련 상담

식단 조언 및 운동 계획 수립","운동,근력강화,체지방 감량","Personal trainer and health/diet consultation

Diet advice and exercise plan establishment","Exercise, strength training, body fat reduction"
"개인 트레이너와 건강/식단 관련 상담

식단 조언 및 운동 계획 수립","식단,다이어트,체지방 감량","Personal trainer and health/diet consultation

Diet advice and exercise plan establishment","Diet, dieting, fat loss"
"개인 트레이너와 건강/식단 관련 상담

운동 계획 수립 및 식단 조언","운동,근력강화,체지방 감량,식단,다이어트","Personal trainer and health/diet consultation

Exercise plan establishment and diet advice","Exercise, strength training, fat loss, diet, dieting"
"여행사 직원과의 상담

해외여행 패키지 문의","해외여행,비자신청,보험가입","Consultation with travel agency staff

Inquiry about overseas travel package","Overseas travel, visa application, insurance enrollment"
"여행사 직원과의 상담

해외여행 패키지 비용 문의","해외여행,숙박예약","Consultation with travel agency staff

Inquiry about overseas travel package cost","Overseas travel, accommodation reservation"
"여행사 직원과의 상담

해외여행 패키지 일정 문의","해외여행,항공권예약","Consultation with travel agency staff

Inquiry about overseas travel package schedule","Overseas travel, air ticket reservation"
"여행사 직원과의 상담

해외여행 패키지 예약 방법 문의","해외여행,패키지예약","Consultation with travel agency staff

Inquiry about overseas travel package reservation method","Overseas travel, package reservation"
"친구와의 저녁 약속

식당 예약 확인","식당예약,메뉴추천","Dinner with friends

Confirm restaurant reservation","Restaurant reservation, menu recommendation"
"여행사 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Travel agency reservation consultation

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for treatment","Customer protection measures, counseling recording, treatment reservation"
"여행사 예약 상담

항공권 예약 안내
숙박 예약 안내
여행 일정 안내","항공권 예약,숙박 예약,여행 일정","Travel agency reservation consultation

Flight ticket reservation guidance
Accommodation reservation guidance
Travel schedule guidance","Flight ticket reservation, accommodation reservation, travel schedule"
"여행사 예약 상담

비자 신청 안내
여행 보험 안내
환불 규정 안내","비자 신청,여행 보험,환불 규정","Travel agency reservation consultation

Visa application guidance
Travel insurance guidance
Refund regulations guidance","Visa application, travel insurance, refund regulations"
"친구와 약속

영화 보기
저녁 식사
카페 가기","영화,저녁 식사,카페","Appointment with friends

Watch a movie
Dinner
Go to cafe","Movie, dinner, cafe"
"친구와 약속

바다 보러 가기
숙박 예약
식당 예약","바다,숙박 예약,식당 예약","Appointment with friends

Go to the sea
Accommodation reservation
Restaurant reservation","Sea, accommodation reservation, restaurant reservation"
"여행사 직원과의 통화

여행 준비물 안내",여행 준비물,"Talking with travel agency staff

Instructions for travel preparations",Travel preparations
"여행사 직원과의 통화

여행 준비물 안내","여행 준비물,항공권 예약","Talking with travel agency staff

Travel preparation guidance","Travel preparation, air ticket reservation"
"여행사 직원과의 통화

여행 일정 안내",여행 일정,"Talking with travel agency staff

Travel schedule guidance",Travel schedule
"여행사 직원과의 통화

여행 일정 변경 요청",여행 일정 변경,"Talking with travel agency staff

Request to change travel schedule",Change travel schedule
"여행사 직원과의 통화

여행 일정 안내","여행 일정,숙소 예약","Talking with travel agency staff

Travel schedule guidance","Travel schedule, accommodation reservation"
"여행사 직원과의 통화

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약","Conversation with travel agency staff

Request for protective measures
Counseling recording guidance
Reservation and inquiry for treatment","Protective measures, counseling recording, treatment reservation"
"친구와의 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수","Dinner with friends

Apgujeong Rodeo
Saju Cafe
Friday evening","Saju Cafe, 50,000 won, reservation required"
"회사 출장 예약

3월 30일 출장 예약
호텔 예약
항공권 예약","출장 예약,호텔 예약,항공권 예약","Business trip reservation

Reservation for March 30th
Hotel reservation
Air ticket reservation","Business trip reservation, Hotel reservation, Air ticket reservation"
"상담 전화에서의 다양한 대화

환불 요청
상담 녹음 안내
상품 문의","환불 요청,상담 녹음 안내,상품 문의","Various conversations on the consultation phone

Refund request
Counseling recording guidance
Product inquiry","Refund request, counseling recording guidance, product inquiry"
"친구와 영화 예매

어벤져스: 엔드게임
CGV 강남
4월 30일 오후 7시","어벤져스: 엔드게임,CGV 강남,영화 예매","Booking a movie with friends

Avengers: Endgame
CGV Gangnam
April 30th 7pm","Avengers: Endgame, CGV Gangnam, movie booking"
"여행사 직원과의 통화

여행 취소/변경 절차 안내","여행 취소,여행 변경,절차 안내","Conversation with travel agency staff

Instructions on cancellation/change of travel","Travel cancellation, travel change, procedure instructions"
"여행사 직원과의 통화

여행 취소/변경 절차 안내","여행 취소,환불,절차 안내","Talking with travel agency staff

Instructions on how to cancel/change travel","Instructions on how to cancel travel, refund, and procedure"
"여행사 직원과의 통화

여행 변경 절차 안내","여행 변경,절차 안내","Talking with travel agency staff

Instructions for travel change process","Travel change, process instructions"
"여행사 직원과의 통화

여행 변경 절차 안내","여행 변경,항공권 변경,절차 안내","Talking with travel agency staff

Instructions for travel change process","Travel change, air ticket change, procedure instructions"
"여행사 직원과의 통화

여행 변경 절차 안내","여행 변경,숙박 변경,절차 안내","Talking with travel agency staff

Instructions on travel change procedures","Travel change, accommodation change, procedure instructions"
"여행사 직원과의 통화

여행지 안전 정보 공유",여행지 안전 정보,"Conversation with travel agency staff

Sharing safety information about the destination",Safety information about the destination
"여행사 직원과의 통화

여행지 안전 정보 공유","여행지 안전 정보,여행 일정 변경","Conversation with travel agency staff

Sharing safety information about the destination","Safety information about the destination, changing travel schedule"
"여행사 직원과의 통화

여행 일정 확인",여행 일정 확인,"Talking with travel agency staff

Checking travel schedule",Checking travel schedule
"여행사 직원과의 통화

여행지 안전 정보 공유","여행지 안전 정보,숙소 예약 확인","Talking with travel agency staff

Sharing safety information about the destination","Safety information about the destination, confirming accommodation reservations"
"친구와의 통화

저녁 약속 잡기",저녁 약속,"Talking with friends

Making an evening appointment",Evening appointment
"자동차 정비사와 차량 보험 처리 안내

자동차 정비사와의 상담 내용","자동차 정비,차량 보험 처리","Car repairman and vehicle insurance processing guidance

Consultation contents with car repairman","Car repair, vehicle insurance processing"
"자동차 정비사와 차량 수리 안내

자동차 정비사와의 상담 내용","자동차 정비,차량 수리","Car mechanic and car repair instructions

Consultation with car mechanic","Car maintenance, car repair"
"자동차 보험 가입 안내

자동차 보험 가입 안내",자동차 보험 가입,"Car Insurance Sign-up Guide

Car Insurance Sign-up Guide",Car Insurance Sign-up
"자동차 정비사와 견적 상담

자동차 정비사와의 상담 내용","자동차 정비,수리 견적","Consultation with a car mechanic

Consultation with a car mechanic","Car maintenance, repair estimate"
"자동차 보험 청구 안내

자동차 보험 청구 안내",자동차 보험 청구,"Car Insurance Claim Guide

Car Insurance Claim Guide",Car Insurance Claim
"자동차 정비사와 차량 정비 팁 공유

차량 정비 팁 공유","차량 정비,정비 팁","Sharing car repair tips with a mechanic

Sharing car repair tips","Car repair, repair tips"
"자동차 정비사와 차량 사고 대처 안내

보험 청구 방법 안내
사고 발생 시 대처 방법 안내
정비소 예약 방법 안내","자동차 사고,보험 청구,정비소 예약","Guidance on car maintenance and vehicle accident response

Guidance on insurance claim methods
Guidance on how to respond when an accident occurs
Guidance on how to make a reservation at a repair shop","Car accident, insurance claim, repair shop reservation"
"친구와 데이트 장소 추천

이태원 맛집 추천
홍대 카페 추천
강남 클럽 추천","맛집 추천,카페 추천,클럽 추천","Recommend a date place with friends

Recommend a restaurant in Itaewon
Recommend a cafe in Hongdae
Recommend a club in Gangnam","Recommend a restaurant, recommend a cafe, recommend a club"
"영어 회화 공부 방법

회화 연습 방법 안내
영어 단어 외우는 방법 안내
영어 듣기 연습 방법 안내","영어 회화,영어 단어,영어 듣기","Ways to Study English Conversation

Instructions on Conversation Practice
Instructions on How to Memorize English Words
Instructions on How to Practice English Listening","English Conversation, English Words, English Listening"
"상담 전화에서의 다양한 대화

보험 가입 문의
보험 상품 안내
보험 가입 신청","보험 가입,보험 상품,보험 가입 신청","Various conversations on the counseling phone

Inquiry about insurance enrollment
Insurance product guidance
Insurance enrollment application","Insurance enrollment, insurance product, insurance enrollment application"
"상담 전화에서의 다양한 대화

환불 요청
환불 처리 안내
환불 신청","환불 요청,환불 처리,환불 신청","Various conversations on the consultation call

Request for refund
Refund processing guidance
Refund application","Request for refund, refund processing, refund application"
"상담 전화에서의 다양한 대화

신용카드 발급 문의
신용카드 상품 안내
신용카드 발급 신청","신용카드 발급,신용카드 상품,신용카드 발급 신청","Various conversations on the counseling phone

Inquiry about credit card issuance
Credit card product information
Credit card issuance application","Credit card issuance, credit card product, credit card issuance application"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음 안내,진료 예약 및 문의","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Appointment and inquiry for medical treatment","Customer protection measures, counseling recording guidance, appointment and inquiry for medical treatment"
