doc,tags
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"치과 상담

치아 건강 조언
예약 문의","치아 건강,예약 문의"
"치과 상담 및 예약

치아 건강 상담
보험 적용 여부
진료 예약","치아 건강,보험 적용,진료 예약"
"치과 진료 상담

치아 건강 상담
치아 교정
보험 적용 여부
진료 예약","치아 건강,치아 교정,보험 적용,진료 예약"
"치과 의사와의 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"치과 의사와의 상담

치료 후유증 문의
진료 예약 및 문의","치료 후유증,진료 예약"
"치과 의사와의 상담

치료 후유증 문의
진료 예약 및 문의","치료 후유증,진료 예약"
"친구와의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"친구와의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"치과 진료 예약 및 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"커피샵에서의 대화

메뉴 추천
테이크아웃 가능 여부
할인 이벤트 안내","커피 메뉴,테이크아웃,할인 이벤트"
"보험 가입 상담

보험 상품 안내
보장 내용 설명
가입 절차 안내","보험 상품,보장 내용,가입 절차"
"주식 매매 상담

주식 종목 추천
시장 동향 분석
매매 전략 안내","주식 종목,시장 동향,매매 전략"
"치과 의사와 보험 처리 안내

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험 처리,진료 예약"
"치과 의사와 보험 처리 안내

보험 처리 방법 안내
진료 예약 및 문의","보험 처리,진료 예약"
"치과 예약

진료 예약 및 문의",진료 예약
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,예약 필수"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,예약 필수"
"치과 간호사와 진료비 결제 안내

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"치과 간호사와 진료비 결제 안내

진료비 결제 안내
보험 청구 안내
환자 정보 확인","진료비 결제,보험 청구,환자 정보 확인"
"치과 간호사와 진료비 결제 안내

진료비 할인 안내
보험 청구 안내","진료비 할인,보험 청구"
"치과 간호사와 진료비 결제 안내

진료비 할인 안내
보험 청구 안내
환자 정보 확인","진료비 할인,보험 청구,환자 정보 확인"
"친구와 약속 잡기

카페 예약
메뉴 추천","카페 예약,메뉴 추천"
"치과 간호사와 응급상황 대처 안내

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"치과 간호사와 응급상황 대처 안내

응급상황 대처 안내
의료진 출동 시간
환자 상태 파악","응급상황 대처,환자 상태 파악,의료용품 준비"
"친구와 영화 예매

영화 예매
상영 시간 확인
좌석 선택","영화 예매,상영 시간 확인,좌석 선택"
"친구와 레스토랑 예약

레스토랑 예약
메뉴 추천
가격 확인","레스토랑 예약,메뉴 추천,가격 확인"
"친구와 여행 계획

여행 일정
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"치과 간호사와 약물 관리 안내

약물 복용 시간 및 용법 안내","약물 복용,약물 부작용,치과 후 간호사 상담"
"치과 예약 및 상담

치과 예약 가능한 날짜 및 시간 안내","치과 예약,치과 진료,후속 조치"
"치과 진료 비용 안내

치과 진료 비용 안내","치과 진료 비용,보험 적용,청구서 발송"
"치과 치료 후 궁금한 점 상담

치과 치료 후 궁금한 점 상담","치과 치료 후 상담,치과 치료 후 통증,치과 치료 후 예방 조치"
"친구와 주말 여행 계획

여행 일정 및 숙소 예약","여행 일정,숙소 예약,준비물 구매,음식 구매,경비 분담"
"치과 간호사와 재진료 일정 조율

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약"
"의류 매장에서의 상담

상품 문의
할인 이벤트 안내
교환/환불 안내","상품 문의,할인 이벤트,교환/환불"
"부동산 중개사와의 상담

매물 안내
계약 조건 안내
중개 수수료 안내","매물 안내,계약 조건,중개 수수료"
"헬스장 PT 예약

PT 예약 문의",PT 예약
"여행사 상담

여행 상품 안내
가격 안내","여행 상품,가격"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사에서의 업무통화

배달 기사와 배달 위치 확인","배달,배달 위치 확인"
"여행 계획 상의

호텔 예약
관광지 추천
항공권 예약","호텔 예약,관광지 추천,항공권 예약"
"상담 전화에서의 다양한 대화

상담 녹음 안내
보험 가입 문의
보험금 청구","상담 녹음 안내,보험 가입 문의,보험금 청구"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"배달음식 주문

치킨과 피자 주문","치킨,피자,주문"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,진료비,의료비"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,진료비,의료비"
"배달 불편 사항 해결

주문한 음식이 늦게 도착함","음식 늦게 도착,냉장고 보관,음식 누락"
"배달 기사와의 통화

음식이 늦게 도착해서 불편함","음식 늦게 도착,냉장고 보관,음식 누락"
"예약 확인

예약 일자와 시간 확인","예약 일자,예약자 이름,예약자 연락처"
"상담 요청

상담 내용",상담 내용
"광고 전화

광고 내용",광고 내용
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"배달 주문 변경

치킨 한마리 추가
마늘치킨으로 변경","배달 주문 변경,치킨 추가,마늘치킨"
"광고 전화

신제품 출시 안내
할인 이벤트 안내","신제품 출시,할인 이벤트"
"사용 설명서 확인

사용 설명서 확인 방법 안내",사용 설명서 확인
"배달 기사와 음식 문제 해결

음식이 냉장고에 보관되어 있지 않았음","음식물 보관,음식 품질,배달 기사"
"배달 기사와 음식 문제 해결

음식이 냉장고에 보관되어 있지 않았음","음식물 보관,음식 품질,배달 기사"
"배달 기사와 음식 문제 해결

음식이 냉장고에 보관되어 있지 않았음","음식물 보관,음식 품질,배달 기사"
"배달 기사와 음식 문제 해결

음식이 냉장고에 보관되어 있지 않았음","음식물 보관,음식 품질,배달 기사"
"배달 기사와 음식 문제 해결

음식이 냉장고에 보관되어 있지 않았음","음식물 보관,음식 품질,배달 기사"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"배달 음식 피드백

맛있게 먹었습니다.
양도 충분하고, 배달도 빠르고 좋았습니다.","음식평가,양,배달시간"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","진료비,보험,진료시간"
"배달 기사와의 통화

도착 예정 시간을 알려주세요.
도착 예정 시간은 10분 후입니다.","배달시간,도착예정시간,배달기사"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"비즈니스 상담

회사 경영에 대한 조언
마케팅 전략 논의
투자 계획 검토","경영전략,마케팅,투자"
"여행 계획 상담

여행 일정 조율
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"상품 교환 요청

상품 불량 신고
교환 요청","상품 불량,교환 요청"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"프로젝트 계획 논의

프로젝트 일정 조율
업무 분담 계획
기술적 이슈 논의","프로젝트 일정,업무 분담,기술적 이슈"
"상담 전화

상담 내용은 비공개",비공개
"상담 전화

상담 내용은 비공개",비공개
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용 요약,상담 내용 정리"
"상담 전화에서의 다양한 대화

고객 문의 사항
상담 내용 요약
상담 내용 정리","보험 상품,보험 가입,보험 청구"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상품 문의,배송 문의,환불 문의"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"비즈니스 전략 논의

매출 증대 방안
경쟁 업체 분석
신규 제품 출시 계획","매출 증대,경쟁 업체 분석,신규 제품 출시"
"광고 캠페인 논의

광고 예산 결정
광고 채널 선정
광고 캡슐화","광고 예산,광고 채널,광고 캡슐화"
"사내 교육 일정 조율

교육 일정 확인
교육 내용 결정","사내 교육,일정 조율,교육 내용"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"컨설팅 전화

컨설팅 내용 1","컨설팅,커리어"
"회사 회의

회의 내용 1","회의,업무"
"영화 예매

영화 제목: 어벤져스
상영 시간: 3월 30일 16시
좌석: VIP석","영화,예매"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"컨설팅 요청

회사 인력 교육 필요성
컨설팅 비용 문의
교육 일정 조율","인력교육,컨설팅비용,교육일정"
"연수 요청

연수 일정 조율
숙소 예약 문의
교육 내용 상담","연수일정,숙소예약,교육내용"
"광고 제안

광고 제안 내용 상담
광고 예산 문의","광고제안,광고예산"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"컨설팅 전화

피드백 수신에 대한 문의
전문가와의 상담
계약서 작성 방법","피드백 수신,전문가 상담,계약서 작성"
"광고 전화

신제품 출시 안내
할인 이벤트 안내
구매 방법 안내","신제품 출시,할인 이벤트,구매 방법"
"사용 설명서 문의

제품 사용 방법 문의
고장 신고 방법 안내
보증 기간 안내","제품 사용 방법,고장 신고,보증 기간"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"비즈니스 전화에서의 컨설팅

신제품 출시 계획
시장 조사 결과
경쟁 업체 분석","신제품 출시,시장 조사,경쟁 업체 분석"
"컨설팅 전화에서의 업무 논의

마케팅 전략 논의
재무 상황 분석
인력 관리 방안","마케팅 전략,재무 상황,인력 관리"
"컨설팅 전화에서의 프로젝트 논의

프로젝트 목표 설정
진행 상황 보고
문제 해결 방안","프로젝트 목표,진행 상황,문제 해결"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"보험 가입 안내

보험 상품 안내
보험 가입 절차 안내
보험 가입 신청서 작성 방법","보험 상품,보험 가입 절차,보험 가입 신청서"
"여행 계획 상의

여행 일정 조율
숙소 예약 방법
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"영화 예매

영화 제목 확인
상영 시간 확인
좌석 선택","영화 제목,상영 시간,좌석 선택"
"보험 에이전트와 보험료 문의

보험 상품 안내 및 가입 가능 여부 확인","보험 상품 안내,보험료 계산,보험 가입 절차"
"친구와 영화 예매

영화 제목과 상영 시간 확인","영화 제목,상영 시간,좌석 선택,예매 완료"
"보험 에이전트와 보험금 청구

보험금 청구 절차 안내","보험금 청구 절차,필요한 서류,청구서 작성 방법"
"친구와 여행 계획

여행 일정과 예산 계획","여행 일정,예산 계획,숙소 예약,가격 비교,여행 준비물,패키지 상품"
"보험 에이전트와 보험금 지급

보험금 지급 절차 안내","보험금 지급 절차,필요한 서류,지급 신청서 작성 방법"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"보험 에이전트와 보험 혜택 논의

보험 가입 시 혜택 안내
보험 가입 조건 확인
보험 가입 시 유의사항 안내","보험 혜택,보험 가입 조건,유의사항"
"여행 계획 상의

여행 일정 조율
숙소 예약 방법 안내
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"음식 배달 주문

음식 종류 선택
배달 주소 입력
결제 방법 선택","음식 종류,배달 주소,결제 방법"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"보험 에이전트와 보험 상담

보험 가입 조건
보험 가입 방법
보험 가입 시 유의사항","보험 가입,보험 가입 방법,보험 가입 조건"
"친구와 여행 계획

여행 일정
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"친구와 대학 시험 대비

과목별 공부 방법
시험 준비 일정
과목별 시험 난이도","시험 대비,과목별 공부 방법,시험 준비 일정"
"보험금 수령 문의

보험금 수령 방법 안내","보험금 수령,보험금 수령 방법"
"보험 가입 상담

보험 가입 상담","보험 가입,보험 가입 방법"
"보험 청구 문의

보험 청구 방법 안내","보험 청구,보험 청구 방법"
"저녁 약속 잡기

어디서 만날까요?","저녁 약속,장소,시간"
"카페 예약

사주카페 예약하고 싶어요","사주카페,예약"
"보험 에이전트와 보험 이용 불편 사항 해결

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험 이용 불편 사항,진료 예약"
"보험 에이전트와 보험 이용 불편 사항 해결

보험 가입 문의
보험 가입 방법 안내
보험 가입 신청서 작성 방법 안내","보험 가입,보험 가입 신청서"
"보험 에이전트와 보험 이용 불편 사항 해결

보험 가입 문의
보험 가입 방법 안내",보험 가입
"보험 에이전트와 보험 이용 불편 사항 해결

보험 가입 문의
보험 가입 방법 안내
보험 가입 신청서 작성 방법 안내","보험 가입,보험 가입 신청서"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,예약 필수"
"웹 개발자와 웹사이트 이슈 해결

웹사이트 로딩 속도 개선 방법","웹사이트 로딩 속도,웹사이트 보안,웹사이트 디자인"
"온라인 쇼핑몰 운영 방법

상품 등록 방법","상품 등록,배송 관리,고객 상담,마케팅 전략"
"저녁 약속 잡기

어디서 만날까?",저녁 약속 잡기
"여행 계획 세우기

어디로 갈까?",여행 계획
"영어 회화 공부 방법

어떤 교재를 사용해야 할까?",영어 회화 공부
"웹 개발자와 웹사이트 디자인 변경 논의

디자인 변경에 대한 의견 조율","웹사이트 디자인,기능 추가,예산 협의"
"웹사이트 디자인 변경 논의

색상 및 레이아웃 변경","웹사이트 디자인,색상 변경,레이아웃 변경,반응형 웹사이트"
"웹사이트 디자인 변경 논의

메뉴 구성 변경","웹사이트 디자인,메뉴 구성 변경,이미지 변경,아이콘 변경"
"웹사이트 디자인 변경 논의

폰트 및 타이포그래피 변경","웹사이트 디자인,폰트 변경,타이포그래피 변경"
"친구와 영화 예매

영화 제목 확인","영화 예매,영화 제목 확인,상영 시간 확인,좌석 예매"
"웹사이트 성능 최적화 논의

웹 페이지 로딩 속도 개선 방법","웹사이트 성능 최적화,웹 페이지 로딩 속도,이미지 최적화,캐시 활용,CDN 도입,서버 사양 업그레이드"
"저녁 약속

이태원 맛집 추천","이태원 맛집,와인 종류,예약 시간,의상 코드"
"주문 취소 및 환불 문의

주문 취소 가능 여부","주문 취소,환불,환불 처리 기간"
"여행 계획

여행 일정","여행 일정,숙소 예약,교통 수단,여행 준비물"
"보험 가입 문의

보험 상품 종류","보험 상품 종류,보장 내용,보험료 계산 방법"
"웹 개발자와 웹사이트 보안 이슈 해결

웹사이트 보안 이슈 해결 방안 논의","웹사이트 보안,웹 개발자와의 협업"
"프로젝트 진행 상황 보고

프로젝트 진행 상황 보고","프로젝트 진행 상황,문제점 해결"
"식당 예약

저녁 7시 예약",식당 예약
"여행 계획

여행 일정 논의","여행 일정,숙소 예약"
"커피 한잔

커피 한잔 하자","카페,커피"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"웹사이트 사용자 피드백 논의

사용자 피드백 수집 방법
웹사이트 개선 방안 논의
기술적 제안 사항","웹사이트 개선,사용자 피드백,기술적 제안"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,진료비 지원,의료보험"
"웹사이트 사용자 피드백 논의

사용자 피드백 수집 방법
웹사이트 개선 방안 논의
기술적 제안 사항","웹사이트 개선,사용자 피드백,기술적 제안"
"웹 개발자와 웹사이트 관리 플랫폼 교육

웹 개발자와 웹사이트 관리 플랫폼 교육에 대한 상세 내용","웹 개발,웹사이트 관리"
"웹 개발자와 웹사이트 관리 플랫폼 교육

웹 개발자와 웹사이트 관리 플랫폼 교육에 대한 상세 내용","웹 개발,웹사이트 관리"
"웹 개발자와 웹사이트 관리 플랫폼 교육

웹 개발자와 웹사이트 관리 플랫폼 교육에 대한 상세 내용","웹 개발,웹사이트 관리"
"웹 개발자와 웹사이트 관리 플랫폼 교육

웹 개발자와 웹사이트 관리 플랫폼 교육에 대한 상세 내용","웹 개발,웹사이트 관리"
"웹 개발자와 웹사이트 관리 플랫폼 교육

웹 개발자와 웹사이트 관리 플랫폼 교육에 대한 상세 내용","웹 개발,웹사이트 관리"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"웹사이트 버그 리포트

버그 리포트 제출 방법 안내
버그 리포트 확인 및 처리 예상 시간 안내","웹사이트 버그 리포트,버그 리포트 제출 방법,버그 리포트 처리 상황 업데이트"
"상담 전화

상담 내용 확인
상담 요청 사항 안내","상담,상담 내용 수정,상담 내용 추가"
"제품 문의 전화

제품 사양 문의
가격 문의","제품 문의,가격 문의,배송 문의,환불 문의"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 사용 방법"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안,웹사이트 디자인"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안,웹사이트 디자인,웹사이트 마케팅"
"웹 개발자와 웹사이트 사용 방법 교육

웹 개발자와 웹사이트 사용 방법 교육","웹 개발,웹사이트 보안,웹사이트 디자인,웹사이트 마케팅,웹사이트 유지보수"
"개인 트레이너와 건강/식단 관련 상담

식단 조언 및 운동 계획 수립","건강,식단,운동"
"개인 트레이너와 건강/식단 관련 상담

식단 조언 및 운동 계획 수립","운동,근력강화,체지방 감량"
"개인 트레이너와 건강/식단 관련 상담

식단 조언 및 운동 계획 수립","식단,다이어트,체지방 감량"
"개인 트레이너와 건강/식단 관련 상담

운동 계획 수립 및 식단 조언","운동,근력강화,체지방 감량,식단,다이어트"
"개인 트레이너와 건강/식단 관련 상담

운동 계획 수립 및 식단 조언","운동,근력강화,체지방 감량,식단,다이어트"
"여행사 직원과의 상담

해외여행 패키지 문의","해외여행,비자신청,보험가입"
"여행사 직원과의 상담

해외여행 패키지 비용 문의","해외여행,숙박예약"
"여행사 직원과의 상담

해외여행 패키지 일정 문의","해외여행,항공권예약"
"여행사 직원과의 상담

해외여행 패키지 예약 방법 문의","해외여행,패키지예약"
"친구와의 저녁 약속

식당 예약 확인","식당예약,메뉴추천"
"여행사 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"여행사 예약 상담

항공권 예약 안내
숙박 예약 안내
여행 일정 안내","항공권 예약,숙박 예약,여행 일정"
"여행사 예약 상담

비자 신청 안내
여행 보험 안내
환불 규정 안내","비자 신청,여행 보험,환불 규정"
"친구와 약속

영화 보기
저녁 식사
카페 가기","영화,저녁 식사,카페"
"친구와 약속

바다 보러 가기
숙박 예약
식당 예약","바다,숙박 예약,식당 예약"
"여행사 직원과의 통화

여행 준비물 안내",여행 준비물
"여행사 직원과의 통화

여행 준비물 안내","여행 준비물,항공권 예약"
"여행사 직원과의 통화

여행 일정 안내",여행 일정
"여행사 직원과의 통화

여행 일정 변경 요청",여행 일정 변경
"여행사 직원과의 통화

여행 일정 안내","여행 일정,숙소 예약"
"여행사 직원과의 통화

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약"
"친구와의 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"여행사 직원과의 통화

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약"
"친구와의 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"여행사 직원과의 통화

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 출장 예약

3월 30일 출장 예약
호텔 예약
항공권 예약","출장 예약,호텔 예약,항공권 예약"
"상담 전화에서의 다양한 대화

환불 요청
상담 녹음 안내
상품 문의","환불 요청,상담 녹음 안내,상품 문의"
"친구와 영화 예매

어벤져스: 엔드게임
CGV 강남
4월 30일 오후 7시","어벤져스: 엔드게임,CGV 강남,영화 예매"
"여행사 직원과의 통화

여행 취소/변경 절차 안내","여행 취소,여행 변경,절차 안내"
"여행사 직원과의 통화

여행 취소/변경 절차 안내","여행 취소,환불,절차 안내"
"여행사 직원과의 통화

여행 변경 절차 안내","여행 변경,절차 안내"
"여행사 직원과의 통화

여행 변경 절차 안내","여행 변경,항공권 변경,절차 안내"
"여행사 직원과의 통화

여행 변경 절차 안내","여행 변경,숙박 변경,절차 안내"
"여행사 직원과의 통화

여행지 안전 정보 공유",여행지 안전 정보
"여행사 직원과의 통화

여행지 안전 정보 공유","여행지 안전 정보,여행 일정 변경"
"여행사 직원과의 통화

여행 일정 확인",여행 일정 확인
"여행사 직원과의 통화

여행지 안전 정보 공유","여행지 안전 정보,숙소 예약 확인"
"친구와의 통화

저녁 약속 잡기",저녁 약속
"자동차 정비사와 차량 보험 처리 안내

자동차 정비사와의 상담 내용","자동차 정비,차량 보험 처리"
"자동차 정비사와 차량 수리 안내

자동차 정비사와의 상담 내용","자동차 정비,차량 수리"
"자동차 보험 가입 안내

자동차 보험 가입 안내",자동차 보험 가입
"자동차 정비사와 견적 상담

자동차 정비사와의 상담 내용","자동차 정비,수리 견적"
"자동차 보험 청구 안내

자동차 보험 청구 안내",자동차 보험 청구
"자동차 정비사와 차량 정비 팁 공유

차량 정비 팁 공유","차량 정비,정비 팁"
"자동차 정비사와 차량 정비 팁 공유

차량 정비 팁 공유","차량 정비,정비 팁"
"자동차 정비사와 차량 정비 팁 공유

차량 정비 팁 공유","차량 정비,정비 팁"
"자동차 정비사와 차량 정비 팁 공유

차량 정비 팁 공유","차량 정비,정비 팁"
"자동차 정비사와 차량 정비 팁 공유

차량 정비 팁 공유","차량 정비,정비 팁"
"자동차 정비사와 차량 사고 대처 안내

보험 청구 방법 안내
사고 발생 시 대처 방법 안내
정비소 예약 방법 안내","자동차 사고,보험 청구,정비소 예약"
"자동차 정비사와 차량 사고 대처 안내

보험 청구 방법 안내
사고 발생 시 대처 방법 안내
정비소 예약 방법 안내","자동차 사고,보험 청구,정비소 예약"
"친구와 데이트 장소 추천

이태원 맛집 추천
홍대 카페 추천
강남 클럽 추천","맛집 추천,카페 추천,클럽 추천"
"친구와 데이트 장소 추천

이태원 맛집 추천
홍대 카페 추천
강남 클럽 추천","맛집 추천,카페 추천,클럽 추천"
"영어 회화 공부 방법

회화 연습 방법 안내
영어 단어 외우는 방법 안내
영어 듣기 연습 방법 안내","영어 회화,영어 단어,영어 듣기"
"영어 회화 공부 방법

회화 연습 방법 안내
영어 단어 외우는 방법 안내
영어 듣기 연습 방법 안내","영어 회화,영어 단어,영어 듣기"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

보험 가입 문의
보험 상품 안내
보험 가입 신청","보험 가입,보험 상품,보험 가입 신청"
"상담 전화에서의 다양한 대화

환불 요청
환불 처리 안내
환불 신청","환불 요청,환불 처리,환불 신청"
"상담 전화에서의 다양한 대화

신용카드 발급 문의
신용카드 상품 안내
신용카드 발급 신청","신용카드 발급,신용카드 상품,신용카드 발급 신청"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음 안내,진료 예약 및 문의"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

산업안전보건법 관련 상담
상담 녹음 안내
공공 서비스 이용 비용 문의","산업안전보건법,상담 녹음 안내,공공 서비스 이용 비용 문의"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음 안내,진료 예약 및 문의"
"친구와 저녁약속

강남역 맛집 추천
저녁 7시 예약
카페 추천","강남역 맛집,카페 추천"
